carrier_mode,actual_ship,actual_delivery,carrier_posted_service_days,customer_distance,truckload_service_days,all_modes_goal_transit_days,actual_transit_days,otd_designation,load_id_pseudo,carrier_pseudo,origin_zip_3d,dest_zip_3d,ship_dow,ship_week,ship_month,ship_year,lane_zip3_pair,lane_id,distance_bucket
LTL,2022-01-03 16:27:00,2022-01-05 15:15:00,3.0,435,,3,2,Delivered Early,35a963613248,0e32a59c0c8e,172xx,416xx,0,1,1,2022,172xx→416xx,3d3f0a0d6235,250-500
LTL,2022-01-03 16:28:00,2022-01-07 15:03:00,4.0,2608,,4,4,On Time,31b6207a5ec8,0e32a59c0c8e,172xx,921xx,0,1,1,2022,PA→CA,d50ee16b814f,2k+
LTL,2022-01-03 16:28:00,2022-01-05 13:54:00,2.0,426,,2,2,On Time,d5b3243231dd,0e32a59c0c8e,172xx,282xx,0,1,1,2022,172xx→282xx,34c0bd89052d,250-500
LTL,2022-01-03 17:09:00,2022-01-18 13:14:00,6.0,2735,,6,11,Late,150d5c82a276,0e32a59c0c8e,157xx,974xx,0,1,1,2022,PA→OR,34d6f8faaf1f,2k+
LTL,2022-01-03 17:30:00,2022-01-12 12:45:00,3.0,1204,,3,7,Late,97eda46a43f1,0e32a59c0c8e,441xx,339xx,0,1,1,2022,441xx→339xx,2c1981f88691,1k-2k
LTL,2022-01-03 17:30:00,2022-01-12 10:40:00,2.0,730,,2,7,Late,4433fff83e9a,0e32a59c0c8e,441xx,302xx,0,1,1,2022,441xx→302xx,f17079deea28,500-1k
LTL,2022-01-03 17:30:00,2022-01-10 09:06:00,2.0,611,,2,5,Late,3317efc49ea0,0e32a59c0c8e,441xx,307xx,0,1,1,2022,441xx→307xx,593d9355a6f8,500-1k
LTL,2022-01-03 17:45:00,2022-01-14 11:43:00,5.0,2420,,5,9,Late,5f34016c13f9,b8e932b33b01,441xx,982xx,0,1,1,2022,441xx→982xx,da84a2b7c769,2k+
Truckload,2022-01-04 09:00:00,2022-01-06 10:00:00,,220,1.0,1,2,Late,740888e1361c,19936bf01cc6,750xx,531xx,1,1,1,2022,750xx→531xx,2066514cf69a,100-250
Truckload,2022-01-04 11:00:00,2022-01-06 13:00:00,,523,2.0,2,2,On Time,a25f1440f04c,dbfc03065eae,441xx,370xx,1,1,1,2022,441xx→370xx,fc2f98c6b522,500-1k
Truckload,2022-01-04 11:45:00,2022-01-05 15:30:00,,1189,3.0,3,1,Delivered Early,2f59d3fa7097,54874e5091dc,827xx,857xx,1,1,1,2022,827xx→857xx,91535febbb8b,1k-2k
LTL,2022-01-04 12:10:00,2022-01-10 14:24:00,3.0,1003,,3,4,Late,1fadf40bd564,ae9d1671f54a,243xx,750xx,1,1,1,2022,243xx→750xx,6a2f36044eeb,1k-2k
Truckload,2022-01-04 12:45:00,2022-01-06 11:30:00,,791,2.0,2,2,On Time,398ca811c660,19936bf01cc6,617xx,750xx,1,1,1,2022,617xx→750xx,fea9f01cb177,500-1k
LTL,2022-01-04 12:52:00,2022-01-05 11:58:00,1.0,8,,1,1,On Time,29744f2776f9,0e32a59c0c8e,857xx,857xx,1,1,1,2022,857xx→857xx,c8d34aec7e26,0-100
LTL,2022-01-04 13:00:00,2022-01-06 14:03:00,2.0,1107,,2,2,On Time,d2d6e9159bfe,cfd59abc9d4b,240xx,750xx,1,1,1,2022,240xx→750xx,43ccaa9b396b,1k-2k
LTL,2022-01-04 13:30:00,2022-01-07 16:35:00,3.0,1219,,3,3,On Time,76fb8e2c3195,0e32a59c0c8e,153xx,750xx,1,1,1,2022,PA→TX,6620b5eb0d3b,1k-2k
LTL,2022-01-04 13:36:00,2022-01-14 14:34:00,5.0,2291,,5,8,Late,bc5f86f1f9ec,0e32a59c0c8e,172xx,898xx,1,1,1,2022,172xx→898xx,3f2cb8292424,2k+
LTL,2022-01-04 13:36:00,2022-01-07 09:35:00,2.0,786,,2,3,Late,6bfed737e441,0e32a59c0c8e,172xx,633xx,1,1,1,2022,PA→MO,8f6c5ebeed8a,500-1k
LTL,2022-01-04 13:36:00,2022-01-06 12:10:00,2.0,675,,2,2,On Time,562303f5a9d3,0e32a59c0c8e,172xx,300xx,1,1,1,2022,172xx→300xx,57bdbf6081be,500-1k
LTL,2022-01-04 13:36:00,2022-01-05 15:15:00,3.0,428,,3,1,Delivered Early,da21d63ba3e2,0e32a59c0c8e,172xx,416xx,1,1,1,2022,172xx→416xx,3d3f0a0d6235,250-500
LTL,2022-01-04 13:41:00,2022-01-07 13:08:00,3.0,1062,,3,3,On Time,10761debee68,0e32a59c0c8e,171xx,720xx,1,1,1,2022,PA→AR,570825cb6d28,1k-2k
LTL,2022-01-04 13:42:00,2022-01-06 11:42:00,2.0,731,,2,2,On Time,8c82ef28b943,0e32a59c0c8e,171xx,301xx,1,1,1,2022,171xx→301xx,f0a4c8cb9edc,500-1k
LTL,2022-01-04 13:42:00,2022-01-05 15:15:00,2.0,498,,2,1,Delivered Early,36cd9c5db05a,0e32a59c0c8e,171xx,416xx,1,1,1,2022,171xx→416xx,95b8cad28132,250-500
LTL,2022-01-04 13:43:00,2022-01-17 18:12:00,6.0,2695,,6,9,Late,165c6a3ab038,0e32a59c0c8e,171xx,956xx,1,1,1,2022,PA→CA,d50ee16b814f,2k+
LTL,2022-01-04 13:43:00,2022-01-10 10:58:00,2.0,726,,2,4,Late,aaa536de0cab,0e32a59c0c8e,171xx,370xx,1,1,1,2022,PA→TN,3334844db484,500-1k
LTL,2022-01-04 13:43:00,2022-01-06 13:04:00,1.0,301,,1,2,Late,e96ca6a80ee9,0e32a59c0c8e,171xx,437xx,1,1,1,2022,PA→OH,67fbf1c57644,250-500
LTL,2022-01-04 13:44:00,2022-01-06 10:42:00,2.0,541,,2,2,On Time,3d52d3e26eb3,0e32a59c0c8e,171xx,379xx,1,1,1,2022,PA→TN,3334844db484,500-1k
Truckload,2022-01-04 14:00:00,2022-01-06 13:30:00,,774,2.0,2,2,On Time,1d329528b1fe,dbfc03065eae,441xx,049xx,1,1,1,2022,441xx→049xx,3ff4224f2341,500-1k
LTL,2022-01-04 14:17:00,2022-01-05 11:36:00,1.0,231,,1,1,On Time,2bf5de0bcc23,0e32a59c0c8e,898xx,841xx,1,1,1,2022,898xx→841xx,c3175db902ef,100-250
LTL,2022-01-04 14:22:00,2022-01-06 14:32:00,2.0,986,,2,2,On Time,bfc1955fc5f5,ae9d1671f54a,531xx,750xx,1,1,1,2022,531xx→750xx,694dd155e101,500-1k
LTL,2022-01-04 14:44:00,2022-01-06 13:39:00,1.0,255,,1,2,Late,2871c60ff3f0,de78ac80b8a6,240xx,172xx,1,1,1,2022,240xx→172xx,186316684343,250-500
LTL,2022-01-04 14:47:00,2022-01-05 12:16:00,1.0,66,,1,1,On Time,252e0aa10252,0e32a59c0c8e,925xx,919xx,1,1,1,2022,CA→CA,1d5881ad7f60,0-100
LTL,2022-01-04 14:48:00,2022-01-10 11:11:00,3.0,1115,,3,4,Late,45d062621b62,0e32a59c0c8e,543xx,750xx,1,1,1,2022,543xx→750xx,da70b3e6b7d2,1k-2k
LTL,2022-01-04 15:08:00,2022-01-06 11:01:00,1.0,298,,1,2,Late,04f0155db9aa,ae9d1671f54a,441xx,513xx,1,1,1,2022,OH→ON,260519ea21e6,250-500
LTL,2022-01-04 15:12:00,2022-01-10 13:47:00,4.0,1334,,4,4,On Time,497d70eddcfd,0e32a59c0c8e,750xx,172xx,1,1,1,2022,750xx→172xx,306c2c9f4f41,1k-2k
LTL,2022-01-04 15:13:00,2022-01-05 12:46:00,1.0,384,,1,1,On Time,c75f9835a971,0e32a59c0c8e,667xx,750xx,1,1,1,2022,667xx→750xx,cc9dd7a7553f,250-500
LTL,2022-01-04 15:20:00,2022-01-06 15:05:00,2.0,951,,2,2,On Time,3b1937d8bd92,5797a633da7c,540xx,750xx,1,1,1,2022,540xx→750xx,f3985f621dda,500-1k
LTL,2022-01-04 15:25:00,2022-01-11 12:55:00,3.0,1011,,3,5,Late,b70cbc0406b0,0e32a59c0c8e,010xx,610xx,1,1,1,2022,NE→MW,e5228fb2fa2c,1k-2k
LTL,2022-01-04 16:10:00,2022-01-10 13:47:00,4.0,1462,,4,4,On Time,f9700b081652,0e32a59c0c8e,773xx,172xx,1,1,1,2022,773xx→172xx,24fe150024ed,1k-2k
LTL,2022-01-04 16:29:00,2022-01-05 15:09:00,1.0,241,,1,1,On Time,bf69d95cf423,0e32a59c0c8e,240xx,172xx,1,1,1,2022,240xx→172xx,186316684343,100-250
LTL,2022-01-04 16:31:00,2022-01-06 14:11:00,2.0,525,,2,2,On Time,1ed2c99f49d4,0e32a59c0c8e,372xx,441xx,1,1,1,2022,TN→OH,ee6aa909d821,500-1k
LTL,2022-01-04 16:32:00,2022-01-07 17:25:00,4.0,1701,,4,3,Delivered Early,1d8117a73e3f,5797a633da7c,172xx,780xx,1,1,1,2022,172xx→780xx,2b625594922d,1k-2k
LTL,2022-01-04 17:06:00,2022-01-06 10:35:00,3.0,1049,,3,2,Delivered Early,52dca2d64499,5797a633da7c,727xx,172xx,1,1,1,2022,727xx→172xx,058457a86928,1k-2k
LTL,2022-01-04 17:11:00,2022-01-10 11:44:00,4.0,1792,,4,4,On Time,88c55271fc25,0e32a59c0c8e,956xx,744xx,1,1,1,2022,WE→SO,cf0240637fd5,1k-2k
LTL,2022-01-04 17:17:00,2022-01-06 12:09:00,2.0,492,,2,2,On Time,1f47847613c2,0e32a59c0c8e,172xx,293xx,1,1,1,2022,172xx→293xx,3a4111f8e71e,250-500
LTL,2022-01-04 17:18:00,2022-01-06 13:02:00,2.0,426,,2,2,On Time,d64c920f8d10,0e32a59c0c8e,172xx,282xx,1,1,1,2022,172xx→282xx,34c0bd89052d,250-500
LTL,2022-01-04 17:18:00,2022-01-06 10:55:00,1.0,106,,1,2,Late,d871bf45f3db,0e32a59c0c8e,172xx,175xx,1,1,1,2022,172xx→175xx,0b1814b9c648,100-250
LTL,2022-01-04 17:32:00,2022-01-17 15:16:00,5.0,2439,,5,9,Late,b35e10e52167,0e32a59c0c8e,441xx,945xx,1,1,1,2022,441xx→945xx,4a1b0becd56d,2k+
LTL,2022-01-04 17:33:00,2022-01-06 10:36:00,2.0,502,,2,2,On Time,f9c6a6af0ba2,0e32a59c0c8e,441xx,379xx,1,1,1,2022,441xx→379xx,953a05868c01,500-1k
LTL,2022-01-04 17:33:00,2022-01-05 14:17:00,1.0,14,,1,1,On Time,b756bc91266d,0e32a59c0c8e,441xx,442xx,1,1,1,2022,OH→OH,f22f94421968,0-100
LTL,2022-01-04 17:34:00,2022-01-11 12:13:00,2.0,375,,2,5,Late,5f9b36c7be91,0e32a59c0c8e,441xx,201xx,1,1,1,2022,441xx→201xx,3081289b006b,250-500
LTL,2022-01-04 17:34:00,2022-01-06 14:02:00,2.0,501,,2,2,On Time,eca0e1067bb2,0e32a59c0c8e,441xx,124xx,1,1,1,2022,441xx→124xx,b6290326690c,500-1k
LTL,2022-01-04 17:34:00,2022-01-06 13:25:00,1.0,387,,1,2,Late,c8e037fa9eee,0e32a59c0c8e,441xx,605xx,1,1,1,2022,441xx→605xx,2ae98d4b9a27,250-500
LTL,2022-01-04 17:35:00,2022-01-18 12:36:00,5.0,2469,,5,10,Late,b72a3003af8c,0e32a59c0c8e,441xx,945xx,1,1,1,2022,441xx→945xx,4a1b0becd56d,2k+
LTL,2022-01-04 17:35:00,2022-01-07 08:25:00,2.0,695,,2,3,Late,b10482ece3c6,0e32a59c0c8e,441xx,300xx,1,1,1,2022,441xx→300xx,4767e6c1118e,500-1k
LTL,2022-01-04 17:35:00,2022-01-06 14:02:00,2.0,501,,2,2,On Time,f81c3c237685,0e32a59c0c8e,441xx,124xx,1,1,1,2022,441xx→124xx,b6290326690c,500-1k
LTL,2022-01-04 17:36:00,2022-01-07 12:13:00,4.0,1367,,4,3,Delivered Early,391bede026ef,0e32a59c0c8e,441xx,786xx,1,1,1,2022,441xx→786xx,927a1e7f7b38,1k-2k
LTL,2022-01-04 17:36:00,2022-01-07 10:06:00,4.0,1430,,4,3,Delivered Early,e96c2db97736,0e32a59c0c8e,441xx,794xx,1,1,1,2022,441xx→794xx,c36058c1bea6,1k-2k
LTL,2022-01-04 17:36:00,2022-01-06 09:14:00,1.0,372,,1,2,Late,fcb641a05a13,0e32a59c0c8e,441xx,601xx,1,1,1,2022,441xx→601xx,a4bb820876b5,250-500
LTL,2022-01-04 17:37:00,2022-01-14 16:49:00,5.0,2429,,5,8,Late,4c86b101f948,0e32a59c0c8e,441xx,984xx,1,1,1,2022,441xx→984xx,2139acb45b5a,2k+
LTL,2022-01-04 17:37:00,2022-01-05 10:53:00,1.0,333,,1,1,On Time,1f938b769745,0e32a59c0c8e,441xx,405xx,1,1,1,2022,441xx→405xx,72b891674448,250-500
LTL,2022-01-04 17:38:00,2022-01-10 13:29:00,2.0,538,,2,4,Late,d51c4a24821f,0e32a59c0c8e,441xx,370xx,1,1,1,2022,441xx→370xx,fc2f98c6b522,500-1k
LTL,2022-01-04 17:38:00,2022-01-06 10:20:00,2.0,518,,2,2,On Time,2b246b657581,0e32a59c0c8e,441xx,377xx,1,1,1,2022,441xx→377xx,451aa665bd99,500-1k
LTL,2022-01-04 17:50:00,2022-01-10 12:00:00,2.0,970,,2,4,Late,18614266ed9c,ae9d1671f54a,544xx,305xx,1,1,1,2022,WI→GA,a56959534f8c,500-1k
LTL,2022-01-04 17:50:00,2022-01-06 15:20:00,2.0,999,,2,2,On Time,d2e05c726c97,ae9d1671f54a,544xx,280xx,1,1,1,2022,WI→NC,26bfa8f52575,500-1k
LTL,2022-01-04 17:50:00,2022-01-06 12:27:00,2.0,1054,,2,2,On Time,c5196c631b99,ae9d1671f54a,544xx,290xx,1,1,1,2022,WI→SC,3c78f6b36a64,1k-2k
LTL,2022-01-04 17:50:00,2022-01-06 10:21:00,2.0,520,,2,2,On Time,10af294202fa,ae9d1671f54a,544xx,630xx,1,1,1,2022,544xx→630xx,5a45c4d76bb7,500-1k
LTL,2022-01-04 18:11:00,2022-01-05 14:29:00,1.0,154,,1,1,On Time,26fd49c056d8,ae9d1671f54a,765xx,750xx,1,1,1,2022,765xx→750xx,45b1a5be6ac0,100-250
LTL,2022-01-04 20:09:00,2022-01-06 15:53:00,2.0,619,,2,2,On Time,0152de090c66,ae9d1671f54a,544xx,441xx,1,1,1,2022,544xx→441xx,edda6970a7c9,500-1k
LTL,2022-01-05 00:00:00,2022-01-19 13:27:00,6.0,2373,,6,10,Late,8a09036f5c3e,de78ac80b8a6,318xx,857xx,2,1,1,2022,318xx→857xx,d1fb0d176b3b,2k+
LTL,2022-01-05 12:13:00,2022-01-10 09:59:00,1.0,77,,1,3,Late,1444bff617f5,5797a633da7c,591xx,590xx,2,1,1,2022,591xx→590xx,cecd3875386f,0-100
Truckload,2022-01-05 12:30:00,2022-01-06 08:00:00,,523,2.0,2,1,Delivered Early,1aa0e28fad1c,54874e5091dc,370xx,441xx,2,1,1,2022,TN→OH,ee6aa909d821,500-1k
Truckload,2022-01-05 13:00:00,2022-01-06 10:45:00,,791,2.0,2,1,Delivered Early,58f3ca4eea3d,19936bf01cc6,617xx,750xx,2,1,1,2022,617xx→750xx,fea9f01cb177,500-1k
LTL,2022-01-05 13:18:00,2022-01-13 14:25:00,6.0,2291,,6,6,On Time,4e5fa1a68129,0e32a59c0c8e,172xx,898xx,2,1,1,2022,172xx→898xx,3f2cb8292424,2k+
LTL,2022-01-05 13:18:00,2022-01-10 16:23:00,4.0,2184,,4,3,Delivered Early,01e74c30ed1c,0e32a59c0c8e,172xx,857xx,2,1,1,2022,172xx→857xx,7b7eb01d1dec,2k+
LTL,2022-01-05 13:18:00,2022-01-10 11:18:00,1.0,273,,1,3,Late,e16e8d75294f,0e32a59c0c8e,172xx,441xx,2,1,1,2022,172xx→441xx,969fed89d97f,250-500
Truckload,2022-01-05 13:30:00,2022-01-06 13:15:00,,28,1.0,1,1,On Time,d0d635fdd249,54874e5091dc,750xx,750xx,2,1,1,2022,750xx→750xx,8c225bc596a2,0-100
LTL,2022-01-05 14:06:00,2022-01-10 11:12:00,3.0,850,,3,3,On Time,459a92e49932,0e32a59c0c8e,521xx,750xx,2,1,1,2022,521xx→750xx,373487d71d65,500-1k
LTL,2022-01-05 14:08:00,2022-01-07 11:56:00,4.0,1380,,4,2,Delivered Early,b950d8a6cf08,b8e932b33b01,441xx,787xx,2,1,1,2022,441xx→787xx,fc7934e6e4aa,1k-2k
LTL,2022-01-05 14:14:00,2022-01-17 10:20:00,5.0,2178,,5,8,Late,0b3c116d6c04,5797a633da7c,532xx,974xx,2,1,1,2022,WI→OR,f7f04f8bf5fe,2k+
LTL,2022-01-05 14:25:00,2022-01-10 14:24:00,3.0,1262,,3,3,On Time,e2ff9b02828b,ae9d1671f54a,215xx,750xx,2,1,1,2022,215xx→750xx,19f095c1a3b5,1k-2k
Truckload,2022-01-05 14:30:00,2022-01-07 07:30:00,,1084,3.0,3,2,Delivered Early,5fe2a8a2349d,3c780565bef8,492xx,750xx,2,1,1,2022,492xx→750xx,d259c8421ac0,1k-2k
LTL,2022-01-05 14:36:00,2022-01-10 17:57:00,4.0,1348,,4,3,Delivered Early,0bedbc053881,ae9d1671f54a,441xx,786xx,2,1,1,2022,441xx→786xx,927a1e7f7b38,1k-2k
LTL,2022-01-05 14:36:00,2022-01-10 13:46:00,3.0,1358,,3,3,On Time,65ee2a311c2e,0e32a59c0c8e,750xx,172xx,2,1,1,2022,750xx→172xx,306c2c9f4f41,1k-2k
LTL,2022-01-05 14:48:00,2022-01-06 10:59:00,1.0,185,,1,1,On Time,00469c7c9771,5797a633da7c,172xx,184xx,2,1,1,2022,172xx→184xx,535714e3be53,100-250
LTL,2022-01-05 14:52:00,2022-01-06 11:15:00,1.0,244,,1,1,On Time,2377c1f5625e,d29d021b03f6,172xx,241xx,2,1,1,2022,172xx→241xx,007131d2294b,100-250
Truckload,2022-01-05 15:00:00,2022-01-06 08:30:00,,791,2.0,2,1,Delivered Early,282d1bb5a884,19936bf01cc6,617xx,750xx,2,1,1,2022,617xx→750xx,fea9f01cb177,500-1k
LTL,2022-01-05 15:35:00,2022-01-07 13:08:00,2.0,80,,2,2,On Time,b5d2a4ed3e20,0e32a59c0c8e,857xx,851xx,2,1,1,2022,857xx→851xx,0e8a3bb14bb0,0-100
LTL,2022-01-05 16:14:00,2022-01-11 14:48:00,3.0,1120,,3,4,Late,2c07c88ca58d,0e32a59c0c8e,750xx,437xx,2,1,1,2022,750xx→437xx,e90cad969646,1k-2k
LTL,2022-01-05 16:14:00,2022-01-11 09:57:00,4.0,1065,,4,4,On Time,4ec53545f84b,0e32a59c0c8e,750xx,577xx,2,1,1,2022,750xx→577xx,3cad7c5fab4a,1k-2k
LTL,2022-01-05 16:14:00,2022-01-10 14:23:00,2.0,624,,2,3,Late,3ea99081fe52,0e32a59c0c8e,750xx,630xx,2,1,1,2022,750xx→630xx,508360e92ddd,500-1k
LTL,2022-01-05 16:15:00,2022-01-11 08:26:00,4.0,1627,,4,4,On Time,ab126bd98a8e,0e32a59c0c8e,750xx,136xx,2,1,1,2022,750xx→136xx,97b38839a880,1k-2k
LTL,2022-01-05 16:15:00,2022-01-10 16:49:00,3.0,1665,,3,3,On Time,b8686fac462f,0e32a59c0c8e,750xx,894xx,2,1,1,2022,750xx→894xx,b2af4ca418c9,1k-2k
LTL,2022-01-05 16:16:00,2022-01-10 10:30:00,3.0,1360,,3,3,On Time,3e507716e1e2,0e32a59c0c8e,750xx,217xx,2,1,1,2022,750xx→217xx,b47ff754268c,1k-2k
LTL,2022-01-05 16:16:00,2022-01-07 14:05:00,3.0,1330,,3,2,Delivered Early,9b9a6b48667c,0e32a59c0c8e,750xx,331xx,2,1,1,2022,750xx→331xx,0cc9339fa45f,1k-2k
LTL,2022-01-05 16:16:00,2022-01-07 14:03:00,3.0,1330,,3,2,Delivered Early,d9ed10bec035,0e32a59c0c8e,750xx,331xx,2,1,1,2022,750xx→331xx,0cc9339fa45f,1k-2k
LTL,2022-01-05 16:24:00,2022-01-11 11:11:00,2.0,687,,2,4,Late,4d8840ea6965,d29d021b03f6,172xx,370xx,2,1,1,2022,172xx→370xx,2c7577221201,500-1k
LTL,2022-01-05 16:24:00,2022-01-10 12:12:00,3.0,428,,3,3,On Time,eaf7c9954353,d29d021b03f6,172xx,416xx,2,1,1,2022,172xx→416xx,3d3f0a0d6235,250-500
LTL,2022-01-05 16:24:00,2022-01-06 14:02:00,1.0,120,,1,1,On Time,0f0f7038149b,d29d021b03f6,172xx,175xx,2,1,1,2022,172xx→175xx,0b1814b9c648,100-250
LTL,2022-01-05 16:28:00,2022-01-10 10:26:00,3.0,1039,,3,3,On Time,f6a0422d9cc9,5797a633da7c,727xx,172xx,2,1,1,2022,727xx→172xx,058457a86928,1k-2k
LTL,2022-01-05 16:31:00,2022-01-07 12:42:00,1.0,180,,1,2,Late,fb9445af1279,0e32a59c0c8e,172xx,184xx,2,1,1,2022,172xx→184xx,535714e3be53,100-250
LTL,2022-01-05 16:32:00,2022-01-10 14:04:00,3.0,853,,3,3,On Time,bfeee5ca46d3,0e32a59c0c8e,172xx,524xx,2,1,1,2022,172xx→524xx,af86922cc6b1,500-1k
LTL,2022-01-05 16:32:00,2022-01-07 13:08:00,2.0,662,,2,2,On Time,489e14ebfb2b,0e32a59c0c8e,172xx,300xx,2,1,1,2022,172xx→300xx,57bdbf6081be,500-1k
LTL,2022-01-05 16:34:00,2022-01-12 15:47:00,4.0,1591,,4,5,Late,1be243ca9ecc,0e32a59c0c8e,172xx,800xx,2,1,1,2022,PA→CO,8d56debb41f7,1k-2k
LTL,2022-01-05 16:34:00,2022-01-10 11:12:00,3.0,955,,3,3,On Time,d827793f3d7e,0e32a59c0c8e,531xx,750xx,2,1,1,2022,531xx→750xx,694dd155e101,500-1k
LTL,2022-01-05 16:35:00,2022-01-10 08:38:00,1.0,351,,1,3,Late,82f100406f21,0e32a59c0c8e,172xx,121xx,2,1,1,2022,172xx→121xx,e857eeabbf35,250-500
